Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (EA), D+6","12.9370","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (EM), D+6","16.9470","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (NE), D+6","11.3061","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (NO), D+6","9.8378","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (NT), D+6","14.5826","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (NW), D+6","19.9461","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (SC), D+6","16.3215","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (SE), D+6","15.3872","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (SO), D+6","8.8829","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (SW), D+6","8.1626","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (WM), D+6","13.4540","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (WN), D+6","1.6804","31/12/2015 12:00:00",""
"31/12/2015 11:38:21","25/12/2015","Demand Actual, LDZ (WS), D+6","5.5912","31/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (EA), D+6","13.5928","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (EM), D+6","17.8421","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (NE), D+6","11.7025","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (NO), D+6","10.0994","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (NT), D+6","15.9974","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (NW), D+6","21.3957","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (SC), D+6","16.6185","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (SE), D+6","16.6312","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (SO), D+6","12.0505","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (SW), D+6","9.2301","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (WM), D+6","14.6551","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (WN), D+6","1.8477","30/12/2015 12:00:00",""
"30/12/2015 11:38:15","24/12/2015","Demand Actual, LDZ (WS), D+6","6.5119","30/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (EA), D+6","12.9935","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (EM), D+6","17.7628","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (NE), D+6","11.7320","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (NO), D+6","10.2428","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (NT), D+6","15.3464","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (NW), D+6","21.2727","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (SC), D+6","17.0356","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (SE), D+6","16.3399","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (SO), D+6","11.4812","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (SW), D+6","9.0612","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (WM), D+6","14.5268","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (WN), D+6","1.8470","29/12/2015 12:00:00",""
"29/12/2015 11:38:09","23/12/2015","Demand Actual, LDZ (WS), D+6","6.4145","29/12/2015 12:00:00",""
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (EA), D+6","11.9994","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (EM), D+6","16.5883","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (NE), D+6","10.9169","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (NO), D+6","9.4130","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (NT), D+6","14.2192","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (NW), D+6","19.7866","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (SC), D+6","15.3906","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (SE), D+6","15.4216","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (SO), D+6","10.6817","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (SW), D+6","8.4648","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (WM), D+6","13.3041","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (WN), D+6","1.7352","28/12/2015 13:32:11","L"
"28/12/2015 13:28:12","22/12/2015","Demand Actual, LDZ (WS), D+6","6.7116","28/12/2015 13:32:11","L"
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (EA), D+6","14.2512","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (EM), D+6","19.1577","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (NE), D+6","12.3828","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (NO), D+6","10.3497","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (NT), D+6","16.4147","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (NW), D+6","22.2087","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (SC), D+6","16.0211","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (SE), D+6","17.7078","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (SO), D+6","12.2728","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (SW), D+6","9.4564","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (WM), D+6","15.2416","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (WN), D+6","1.8686","27/12/2015 12:00:00",""
"27/12/2015 11:38:55","21/12/2015","Demand Actual, LDZ (WS), D+6","7.3014","27/12/2015 12:00:00",""
"26/12/2015 11:38:48","20/12/2015","Demand Actual, LDZ (EA), D+6","11.2720","26/12/2015 12:00:00",""
"26/12/2015 11:38:48","20/12/2015","Demand Actual, LDZ (EM), D+6","14.4502","26/12/2015 12:00:00",""
"26/12/2015 11:38:48","20/12/2015","Demand Actual, LDZ (NE), D+6","9.4729","26/12/2015 12:00:00",""
