Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(EA), D+6",157251853,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(EM), D+6",202883710,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(NE), D+6",119707328,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(NO), D+6",95397155,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(NT), D+6",203904513,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(NW), D+6",215289879,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(SC), D+6",171416700,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(SE), D+6",198568958,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(SO), D+6",135843374,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(SW), D+6",110153286,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(WM), D+6",175302946,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(WN), D+6",20060341,05/02/2020 20:52,L
05/02/2020 20:47,30/01/2020,"Demand, Actual NDM, LDZ(WS), D+6",66575072,05/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(EA), D+6",183568037,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(EM), D+6",231242658,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(NE), D+6",136508174,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(NO), D+6",108401240,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(NT), D+6",238581319,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(NW), D+6",238417939,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(SC), D+6",185561107,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(SE), D+6",234486160,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(SO), D+6",155206602,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(SW), D+6",128156744,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(WM), D+6",194698183,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(WN), D+6",22158964,04/02/2020 20:52,L
04/02/2020 20:48,29/01/2020,"Demand, Actual NDM, LDZ(WS), D+6",71432238,04/02/2020 20:52,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(EA), D+6",197425571,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(EM), D+6",245995077,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(NE), D+6",145106142,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(NO), D+6",119436902,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(NT), D+6",257155815,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(NW), D+6",271286662,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(SC), D+6",196930132,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(SE), D+6",253597336,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(SO), D+6",170342147,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(SW), D+6",140786997,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(WM), D+6",208205510,03/02/2020 21:12,L
03/02/2020 21:08,28/01/2020,"Demand, Actual NDM, LDZ(WN), D+6",25139526,03/02/2020 21:12,L
