Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","2.6800","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","1.5100","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","1.4100","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","4.8200","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","2.6700","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","3.5300","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","6.3900","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","2.7200","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","4.2800","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","3.4500","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(WM), D+1","3.4400","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(WN), D+1","3.5300","31/12/2016 11:50:00",""
"31/12/2016 11:39:02","30/12/2016","Composite Weather Variable, Actual, LDZ(WS), D+1","4.2100","31/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","3.4300","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","0.8700","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","0.8200","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","2.9200","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","3.4600","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","1.7400","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","5.0900","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","3.5000","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","5.6000","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","2.7800","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(WM), D+1","2.0100","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(WN), D+1","1.7400","30/12/2016 11:50:00",""
"30/12/2016 11:38:56","29/12/2016","Composite Weather Variable, Actual, LDZ(WS), D+1","3.6100","30/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","3.6700","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","2.0900","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","1.9800","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","2.5100","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","3.7100","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","1.9300","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","5.0700","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","3.7500","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","5.5000","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","2.9500","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(WM), D+1","1.9500","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(WN), D+1","1.9300","29/12/2016 11:50:00",""
"29/12/2016 11:38:49","28/12/2016","Composite Weather Variable, Actual, LDZ(WS), D+1","3.4200","29/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","4.6900","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","3.4500","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","3.2800","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","3.8000","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","4.7400","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","3.3600","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","4.6000","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","4.7500","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","5.5700","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","4.1700","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(WM), D+1","3.2300","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(WN), D+1","3.3600","28/12/2016 11:50:00",""
"28/12/2016 11:38:43","27/12/2016","Composite Weather Variable, Actual, LDZ(WS), D+1","4.2700","28/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","6.2500","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","4.6900","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","4.4100","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","3.5400","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","6.2900","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","5.0800","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","3.6800","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","6.3100","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","7.1000","27/12/2016 11:50:00",""
"27/12/2016 11:38:36","26/12/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","6.1100","27/12/2016 11:50:00",""
