Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",5.83,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.23,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",4.07,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",3.51,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",5.9,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.52,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",4.79,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",5.84,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",7.19,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",5.59,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",5.05,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.52,06/02/2020 11:50,,,,,,,,,,,,
06/02/2020 11:38,05/02/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",5.66,06/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",6.58,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.84,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",4.63,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",3.78,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",6.65,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(NW), D+1",4.87,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(SC), D+1",4.43,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(SE), D+1",6.59,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(SO), D+1",7.21,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(SW), D+1",5.93,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(WM), D+1",5.58,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(WN), D+1",4.87,05/02/2020 11:50,,,,,,,,,,,,
05/02/2020 11:38,04/02/2020,"Composite Weather Variable, Actual, LDZ(WS), D+1",6.45,05/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(EA), D+1",7.09,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(EM), D+1",4.98,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(NE), D+1",4.74,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(NO), D+1",3.31,04/02/2020 11:50,,,,,,,,,,,,
04/02/2020 11:38,03/02/2020,"Composite Weather Variable, Actual, LDZ(NT), D+1",7.15,04/02/2020 11:50,,,,,,,,,,,,
